scolname,location_country,location_state,location_city,scale_students,scale_faculty
435school,Japan,sound,case,9219,2720
436school,Gambia,station,condition,3836,229
437school,Comoros,present,father,5284,2727
438school,Korea South,radio,into,6411,4120
439school,Congo,do,total,1714,3397
440school,Czech,power,hotel,3865,2268
441school,Republic,energy,alone,5782,1234
442school,Italy,dark,effort,3812,3865
443school,Djibouti,could,join,2957,108
444school,Czech,machine,smile,8426,4928
445school,Cuba,hair,sister,3272,4783
446school,China,human,reflect,9238,3132
447school,Gabon,town,leader,3854,3199
448school,Comoros,go,something,6880,39
449school,Congo,send,common,7752,4353
450school,Egypt,where,per,403,839
451school,Albania,discover,within,3085,456
452school,Japan,well,spend,9453,1833
453school,France,within,seem,9445,3195
454school,Antigua,on,reveal,1553,2557
455school,Georgia,my,describe,7567,1696
456school,Antigua,approach,get,3394,2855
457school,Ireland,building,system,4464,176
458school,Japan,church,cell,9914,2033
459school,Albania,black,week,5216,1032
460school,Japan,participant,serious,8487,4882
461school,Djibouti,office,our,4787,3479
462school,Antigua,page,I,9538,2954
463school,Angola,model,know,3894,2908
464school,Denmark,again,land,7312,1609
465school,Algeria,enjoy,building,3424,1893
466school,East Timor,although,word,2872,1695
467school,Andorra,every,require,7986,3176
468school,Croatia,energy,who,4639,3692
469school,Congo,never,shake,2230,2859
470school,Comoros,find,offer,7191,2239
471school,Czech,possible,radio,5717,2739
472school,Ireland,affect,truth,9397,675
473school,Czech,there,use,9572,2616
474school,Denmark,product,hard,9890,842
475school,Argentina,up,somebody,7100,2677
476school,Croatia,enough,prevent,8342,2629
477school,Gambia,avoid,decision,5850,4652
478school,East Timor,per,billion,1848,4696
479school,Gambia,weight,room,1853,3129
480school,Andorra,popular,candidate,3064,882
481school,Ireland,television,vote,4422,2986
482school,Czech,statement,same,2830,2710
483school,Japan,street,realize,5598,1081
484school,East Timor,fish,cost,7371,2123
485school,Ireland,office,education,4131,4121
486school,Gambia,level,senior,187,4749
487school,Andorra,good,scene,745,294
488school,Algeria,these,hospital,7064,2876
489school,Djibouti,consumer,newspaper,4717,1836
490school,Djibouti,where,interview,411,825
491school,Egypt,key,card,6784,725
492school,Germany,what,reality,675,563
493school,Antigua,people,house,1168,3672
494school,Angola,effect,light,8717,2852
495school,Gambia,like,join,5496,2834
496school,Denmark,stop,seem,7162,3620
497school,Colombia,help,hit,5860,4983
498school,Germany,talk,east,5197,753
499school,Djibouti,turn,develop,4911,4486
500school,Algeria,think,close,2514,4426
501school,Italy,heart,fall,7277,3756
502school,Angola,stage,finish,2538,3001
503school,Egypt,especially,what,3598,870
504school,United Kingdom,church,garden,3421,2034
505school,Dominica,message,save,9991,798
506school,Denmark,boy,statement,2894,3233
507school,Denmark,onto,begin,2198,893
508school,Andorra,himself,summer,4249,1028
509school,Congo,exist,task,9700,2935
510school,Andorra,center,cut,7569,1335
511school,Antigua,others,office,8310,4503
512school,East Timor,article,necessary,2995,638
513school,Andorra,opportunity,anyone,5520,2256
514school,Colombia,eight,huge,3120,1526
515school,Dominica,outside,right,4113,1008
516school,Colombia,mouth,information,55,3504
517school,Congo,prove,line,1061,4478
518school,Angola,across,firm,1600,4155
519school,Albania,citizen,off,5440,3833
520school,Algeria,expect,such,6226,3315
521school,Cuba,production,sport,4137,2793
522school,Georgia,state,fire,5842,4085
523school,Ecuador,son,one,5158,4490
524school,United Kingdom,project,enter,2823,2711
525school,Georgia,serve,game,5800,4406
526school,Andorra,tonight,suddenly,4362,4744
527school,Egypt,rate,blue,1361,3101
528school,France,too,same,1348,3087
529school,Dominican Republic,authority,short,6753,4671
530school,Ireland,response,free,222,4726
531school,Antigua,color,responsibility,5862,1712
532school,Algeria,service,training,9383,1738
533school,Antigua,tree,language,7256,2424
534school,East Timor,smile,look,7771,3759
535school,Cuba,number,laugh,1206,3029
536school,Dominica,born,difficult,9803,2875
537school,East Timor,yes,garden,4817,650
538school,France,should,spring,3829,2488
539school,China,on,now,2906,650
540school,Denmark,very,none,7037,2509
541school,Argentina,play,wait,1251,2074
542school,Georgia,good,notice,9162,2654
543school,Czech,price,strong,1550,297
544school,Gambia,either,image,8728,2185
545school,Gabon,the,trial,4536,537
546school,Czech,measure,list,4124,3541
547school,United Kingdom,different,culture,5892,3531
548school,Colombia,above,order,4841,2955
549school,United States,already,table,5935,1588
550school,Cuba,thousand,reveal,6640,343
551school,Cyprus,sport,keep,5782,4043
552school,United States,agent,child,2935,4395
553school,Costa Rica,hand,nearly,4837,2041
554school,Antigua,although,election,8876,1690
555school,Congo,section,attack,9883,2059
556school,Argentina,attack,somebody,3669,751
557school,Korea South,child,yourself,7891,4353
558school,Andorra,big,truth,1738,3652
559school,Djibouti,big,industry,2543,3738
560school,Congo,evidence,part,6130,3279
561school,Germany,local,paper,4468,1026
562school,Angola,point,say,9783,3303
563school,France,early,pressure,6091,2651
564school,Japan,measure,wait,8422,83
565school,Comoros,within,respond,7510,4735
566school,Ireland,central,soldier,753,576
567school,Ireland,value,shake,5882,4667
568school,Algeria,once,edge,2588,2634
569school,Italy,style,light,1427,2126
570school,China,hope,low,5580,4839
571school,Gabon,meet,his,424,4737
572school,Republic,reflect,begin,2572,4171
573school,East Timor,while,between,8054,898
574school,Afghanistan,organization,research,6088,4167
575school,Algeria,development,thought,4586,3559
576school,China,form,today,6067,4660
577school,East Timor,already,everybody,419,408
578school,China,respond,his,6734,2944
579school,Comoros,news,threat,6380,577
580school,Denmark,recent,before,9942,2554
581school,Dominican Republic,turn,hand,8179,4122
582school,Dominica,store,end,1808,3058
583school,Korea South,source,cultural,2102,920
584school,Dominican Republic,north,federal,7150,4868
585school,China,sit,dark,2926,4259
586school,Argentina,house,food,7664,4321
587school,Japan,drug,history,3437,4040
588school,Egypt,current,task,1908,1394
589school,Angola,even,around,7764,597
590school,Ireland,seem,cover,1468,623
591school,East Timor,have,fine,524,173
592school,Gambia,training,environment,2503,3807
593school,Georgia,head,through,8268,2878
594school,Gabon,part,someone,2961,1185
595school,Ecuador,including,try,9370,2902
596school,Ireland,garden,nearly,8951,2886
597school,Gabon,goal,wall,4807,2843
598school,Egypt,we,here,2078,1509
599school,Denmark,specific,option,4864,4065
600school,Congo,speech,image,7009,1090
601school,Angola,democratic,impact,6246,4636
602school,Afghanistan,ten,arm,2970,3639
603school,Costa Rica,see,line,2454,4487
604school,Italy,later,spend,4745,2308
605school,Antigua,quality,glass,4981,1231
606school,Germany,outside,hotel,9429,4254
607school,Egypt,agreement,hour,8466,1827
608school,Andorra,method,dark,6384,509
609school,Korea South,traditional,teacher,383,2147
610school,Dominican Republic,learn,research,1422,1801
611school,Colombia,off,already,9526,3777
612school,Denmark,former,arrive,684,4777
613school,United Kingdom,think,data,2565,4818
614school,United States,moment,behavior,1709,4628
615school,Japan,believe,local,3436,3199
616school,Republic,goal,foreign,657,2311
617school,Czech,sell,space,7202,3072
618school,Denmark,take,sea,5362,2801
619school,Germany,place,history,9401,4513
620school,Ireland,stand,happen,3540,2976
621school,Comoros,government,language,2921,3847
622school,United States,manager,wrong,1564,4699
623school,Korea South,skill,better,4276,4206
624school,Denmark,above,than,7268,935
625school,Korea South,own,her,2381,2765
626school,Korea South,blue,image,3419,4735
627school,France,down,animal,5146,308
628school,Gambia,science,ability,2623,324
629school,Italy,body,feeling,9789,4825
630school,Antigua,sell,year,3413,4420
631school,Congo,plan,position,1759,4563
632school,Albania,nation,station,302,3502
633school,Dominica,hold,go,3683,2876
634school,Colombia,medical,tree,4733,2643
635school,United States,positive,again,4121,3146
636school,France,case,case,9605,1713
637school,Andorra,Republican,win,4563,4201
638school,United Kingdom,condition,avoid,9235,3887
639school,Djibouti,down,option,3304,2474
640school,Italy,wish,green,9455,1130
641school,Italy,seat,compare,4652,471
642school,Czech,reason,by,7907,2115
643school,United Kingdom,same,series,9580,1955
644school,China,produce,analysis,6384,3609
645school,Comoros,figure,view,2712,2967
646school,Ireland,heavy,fast,2190,1512
647school,Costa Rica,yourself,visit,778,4806
648school,Congo,heavy,health,5234,364
649school,Ireland,office,note,6303,521
650school,Cuba,American,and,8478,3442
651school,Antigua,reality,your,4892,1346
652school,Ecuador,cost,dog,961,242
653school,Gabon,occur,lay,4708,4585
654school,Angola,beat,since,6140,3537
655school,Korea South,poor,as,3278,2521
656school,Denmark,second,ahead,8166,3042
657school,Czech,population,current,4028,3046
658school,Gambia,Mr,building,9048,1329
659school,Gambia,wonder,serious,2169,1278
660school,Dominican Republic,we,agreement,4102,371
661school,Algeria,set,but,8874,482
662school,Gambia,executive,cause,4116,3267
663school,Ireland,international,rock,499,2663
664school,Italy,party,position,1288,3826
665school,Algeria,fine,clear,2423,4718
666school,Croatia,down,although,3648,1427
667school,Georgia,level,as,1854,1344
668school,Comoros,guy,foreign,6101,1439
669school,Cyprus,best,bring,8051,3359
670school,Congo,pull,far,3403,4630
671school,Colombia,couple,style,3720,3703
672school,Comoros,contain,book,5293,1118
673school,Ireland,onto,bag,1282,4103
674school,Gabon,may,democratic,8267,4503
675school,Dominican Republic,security,south,3482,1403
676school,Ecuador,bag,social,5173,3053
677school,Djibouti,child,truth,4529,4530
678school,United Kingdom,week,play,9731,2612
679school,Japan,guess,very,2051,3940
680school,Egypt,its,your,2563,3588
681school,Colombia,real,employee,5227,1185
682school,Angola,late,bit,249,4882
683school,Dominican Republic,account,company,6248,2867
684school,Dominican Republic,rock,war,9421,3224
685school,Italy,scene,human,963,3314
686school,Italy,past,edge,9811,3050
687school,France,cost,spring,297,620
688school,Argentina,set,usually,1889,1892
689school,United Kingdom,rule,political,2665,2619
690school,Italy,fight,direction,8436,1590
691school,Germany,the,old,6447,1528
692school,Japan,seat,billion,9421,3098
693school,United Kingdom,line,admit,5382,4825
694school,United Kingdom,scientist,show,3445,1077
695school,France,cause,set,2867,827
696school,Republic,painting,finish,7214,3782
697school,Costa Rica,contain,explain,414,25
698school,Costa Rica,by,name,9071,1444
699school,Dominican Republic,capital,treat,2139,2200
700school,Congo,five,current,3629,655
701school,Georgia,have,now,3341,4640
702school,Dominica,marriage,to,3932,916
703school,Albania,whatever,drop,8624,1621
704school,Ireland,or,tend,2628,3920
705school,Egypt,offer,agree,3516,399
706school,Algeria,task,coach,8885,47
707school,Dominica,soldier,in,4711,1965
708school,Djibouti,focus,decide,563,3181
709school,United States,four,throw,3248,929
710school,Comoros,including,term,2818,4805
711school,Dominican Republic,discover,pass,8532,3262
712school,Italy,sport,same,9994,3922
713school,Ecuador,fish,south,3614,4266
714school,Italy,site,next,9418,3793
715school,Italy,fly,big,5465,2865
716school,Albania,deal,red,6865,814
717school,Albania,them,others,6274,1774
718school,United Kingdom,position,common,2357,452
719school,East Timor,particular,visit,5807,2009
720school,Congo,likely,series,481,4901
721school,Djibouti,new,civil,1464,2081
722school,Denmark,account,development,8258,4606
723school,Germany,especially,western,89,3889
724school,Argentina,address,play,9654,3149
725school,Colombia,true,imagine,8545,876
726school,Afghanistan,visit,rather,813,289
727school,United Kingdom,test,interview,860,3374
728school,Andorra,live,pull,9293,3190
729school,Dominican Republic,there,free,746,3679
730school,France,story,sign,7289,1569
731school,Afghanistan,carry,trial,2728,900
732school,Costa Rica,American,serve,4882,4540
733school,East Timor,debate,perform,8775,3754
734school,Cyprus,PM,member,834,2798
735school,Colombia,exist,magazine,715,2581
736school,Angola,however,country,6543,2421
737school,Italy,push,more,4332,1147
738school,United Kingdom,particularly,society,24,1151
739school,Japan,life,chair,6130,2862
