gradname,graddate,adname
1150,1955-03-23,115
1160,1978-03-19,116
1170,1917-02-17,117
1180,1963-05-24,118
1190,1946-10-25,119
1200,1995-08-16,120
1210,1950-07-22,121
1220,1962-08-26,122
1230,1990-12-27,123
1240,1964-06-12,124
1250,1965-11-23,125
1260,1961-03-16,126
1270,1925-04-15,127
1280,1967-09-20,128
1290,1941-06-23,129
1300,1980-06-10,130
1310,1992-07-28,131
1320,1943-09-14,132
1330,1979-04-26,133
1340,1978-06-24,134
1350,1906-12-30,135
1360,2010-11-14,136
1370,1966-09-01,137
1380,2008-10-20,138
1390,1974-01-14,139
1400,1996-01-18,140
1410,1918-04-30,141
1420,1935-12-12,142
1430,1990-11-13,143
1440,1963-12-24,144
1450,1969-06-18,145
1460,1968-04-02,146
1470,1973-03-01,147
1480,1915-12-14,148
1490,1993-05-08,149
1500,2004-12-27,150
1510,1965-10-25,151
1520,1910-01-22,152
1530,2004-11-23,153
1540,1921-11-18,154
1550,1982-07-01,155
1560,1974-04-23,156
1570,1995-10-30,157
1580,1964-10-12,158
1590,1926-06-20,159
1600,2013-12-14,160
1610,2014-07-19,161
1620,1996-05-20,162
1630,1961-01-18,163
1640,1971-01-15,164
1650,1990-02-01,165
1660,1959-05-21,166
1670,1944-05-06,167
1680,2006-12-05,168
1690,1993-01-23,169
1700,1942-11-20,170
1710,1969-03-25,171
1720,1910-04-06,172
1730,1960-09-26,173
1740,1907-07-19,174
1750,1977-05-29,175
1760,1967-06-29,176
1770,2001-06-21,177
1780,1993-11-05,178
1790,1935-06-12,179
1800,1985-11-06,180
1810,1968-09-15,181
1820,1984-01-08,182
1830,1908-02-27,183
1840,1922-11-07,184
1850,1915-05-05,185
1860,2006-05-01,186
1870,1984-12-26,187
1880,2018-08-08,188
1890,1922-03-01,189
1900,1968-07-22,190
1910,2011-06-06,191
1920,1945-08-11,192
1930,1940-02-14,193
1940,1907-06-15,194
1950,1940-01-11,195
1960,2001-11-11,196
1970,1967-06-03,197
1980,1976-03-18,198
1990,1966-03-09,199
2000,1952-05-15,200
2010,1993-10-07,201
2020,1978-11-09,202
2030,1929-07-01,203
2040,1968-10-11,204
2050,1927-02-24,205
2060,1917-06-01,206
2070,2001-11-28,207
2080,1995-03-29,208
2090,1926-03-10,209
2100,1931-02-13,210
2110,1905-09-03,211
2120,1957-10-16,212
2130,1924-04-17,213
2140,1951-10-06,214
2150,1986-08-10,215
2160,1915-01-31,216
2170,1924-04-16,217
2180,1939-09-27,218
2190,1941-02-07,219
2200,1971-08-03,220
2210,2004-02-29,221
2220,2013-07-18,222
2230,1957-02-15,223
2240,1991-07-26,224
2250,1960-08-02,225
2260,1990-11-16,226
2270,1933-04-16,227
2280,1983-04-03,228
2290,1949-12-08,229
2300,1970-03-24,230
2310,1989-07-04,231
2320,1948-12-08,232
2330,1997-03-15,233
2340,1947-05-14,234
2350,1985-05-07,235
2360,1955-04-14,236
2370,1957-11-13,237
2380,2007-02-17,238
2390,1936-09-14,239
2400,1951-02-06,240
2410,1930-10-23,241
2420,1989-06-23,242
2430,1907-10-29,243
2440,1990-04-09,244
2450,1908-09-15,245
2460,1940-05-06,246
2470,1924-02-01,247
2480,2003-12-06,248
2490,1934-12-10,249
2500,2012-11-13,250
2510,1947-04-29,251
2520,1909-09-27,252
2530,1981-05-22,253
2540,1918-05-27,254
2550,1986-03-17,255
2560,1926-11-01,256
2570,1941-02-11,257
2580,1944-03-08,258
2590,1996-04-06,259
2600,1937-09-06,260
2610,1918-10-26,261
2620,1940-10-22,262
2630,1907-04-01,263
2640,1996-01-06,264
2650,1943-10-18,265
2660,1964-02-13,266
2670,1910-11-20,267
2680,1939-05-06,268
2690,1919-08-10,269
2700,1936-04-23,270
2710,1951-09-08,271
2720,1960-01-26,272
2730,2017-07-18,273
2740,1915-04-27,274
2750,1977-08-18,275
2760,1956-01-10,276
2770,1954-04-03,277
2780,1987-06-16,278
2790,1984-09-22,279
2800,1971-03-29,280
2810,1973-06-08,281
2820,1965-11-30,282
2830,1953-06-15,283
2840,1921-03-06,284
2850,1987-11-05,285
2860,1972-11-11,286
2870,1947-02-18,287
2880,1913-03-02,288
2890,1910-09-11,289
2900,1978-05-02,290
2910,1948-09-25,291
2920,1982-05-30,292
2930,2012-06-14,293
2940,1918-06-07,294
2950,1968-08-23,295
2960,1905-08-29,296
2970,2006-10-29,297
2980,1970-01-04,298
2990,2003-01-13,299
3000,1992-02-14,300
3010,1975-02-25,301
3020,1921-05-26,302
3030,1989-11-18,303
3040,1929-08-15,304
3050,1996-03-13,305
3060,1965-05-15,306
3070,1915-02-18,307
3080,1951-01-21,308
3090,1907-06-08,309
3100,2020-01-06,310
3110,1907-10-07,311
3120,2012-12-15,312
3130,2010-03-11,313
3140,1947-03-24,314
3150,2012-09-05,315
3160,1913-06-23,316
3170,1963-02-20,317
3180,1905-06-12,318
3190,1926-04-25,319
3200,1935-09-18,320
3210,2020-05-13,321
3220,1961-06-12,322
3230,2002-08-10,323
3240,1934-07-13,324
3250,1952-08-22,325
3260,1982-10-10,326
3270,1920-04-19,327
3280,1979-01-25,328
3290,1910-11-07,329
3300,1992-09-17,330
3310,1968-09-09,331
3320,1908-07-05,332
3330,1913-10-14,333
3340,2011-12-18,334
3350,1926-02-01,335
3360,1981-02-28,336
3370,1981-04-13,337
3380,1993-10-18,338
3390,1965-07-26,339
3400,1920-12-09,340
3410,1936-06-24,341
3420,2011-07-23,342
3430,1997-12-02,343
3440,1915-10-14,344
3450,1919-06-26,345
3460,1929-10-30,346
3470,1927-08-10,347
3480,1977-03-05,348
3490,2016-03-14,349
3500,1907-06-28,350
3510,1967-03-13,351
3520,1947-06-13,352
3530,1920-03-21,353
3540,1976-07-13,354
3550,1942-07-06,355
3560,1919-11-14,356
3570,1969-05-17,357
3580,1911-05-31,358
3590,1991-02-15,359
3600,1952-04-19,360
3610,1984-07-29,361
3620,2002-07-28,362
3630,2000-08-15,363
3640,2018-05-07,364
3650,1999-01-25,365
3660,1934-04-26,366
3670,1962-12-18,367
3680,1952-07-16,368
3690,1920-01-25,369
3700,1927-11-20,370
3710,1907-02-05,371
3720,1956-12-21,372
3730,1958-04-02,373
3740,1981-04-27,374
3750,1972-06-06,375
3760,1926-04-19,376
3770,1921-11-23,377
3780,1992-11-02,378
3790,1942-05-03,379
3800,1934-09-19,380
3810,1908-03-23,381
3820,1904-11-18,382
3830,2013-03-18,383
3840,1999-10-03,384
3850,1979-01-18,385
3860,1983-07-06,386
3870,1983-10-31,387
3880,2004-02-05,388
3890,1991-05-16,389
3900,1957-03-04,390
3910,1922-06-05,391
3920,1905-08-11,392
3930,1987-07-27,393
3940,2008-09-25,394
3950,1905-01-17,395
3960,1924-01-07,396
3970,1930-08-20,397
3980,1961-03-26,398
3990,1951-07-20,399
4000,1921-11-18,400
4010,1909-07-01,401
4020,2016-11-22,402
4030,1950-06-01,403
4040,1975-09-14,404
4050,1967-12-29,405
4060,1979-10-09,406
4070,2002-07-21,407
4080,1982-04-13,408
4090,2005-07-18,409
4100,2000-10-22,410
4110,1993-11-06,411
4120,1946-08-06,412
4130,1962-09-03,413
4140,1949-07-09,414
4150,1981-07-08,415
4160,2011-04-11,416
4170,1988-06-20,417
4180,1969-04-10,418
4190,1988-07-10,419
4200,1928-07-09,420
4210,1934-06-19,421
4220,2008-01-26,422
4230,1981-05-17,423
4240,1915-03-01,424
4250,1917-05-21,425
4260,2003-10-31,426
4270,2016-10-14,427
4280,1939-06-04,428
4290,1945-09-24,429
4300,1985-12-14,430
4310,1921-05-24,431
4320,1957-07-09,432
4330,1968-02-15,433
4340,1936-02-25,434
4350,1917-09-19,435
4360,1989-05-04,436
4370,1971-10-23,437
4380,1931-03-30,438
4390,2019-06-14,439
4400,1995-05-05,440
4410,1905-08-30,441
4420,1923-06-30,442
4430,1988-03-06,443
4440,1926-12-24,444
4450,1969-12-01,445
4460,1940-06-17,446
4470,1959-07-30,447
4480,2010-01-14,448
4490,1991-06-15,449
4500,1942-07-23,450
4510,2002-09-22,451
4520,1940-08-04,452
4530,1972-04-08,453
4540,1940-07-02,454
4550,1905-03-04,455
4560,1933-11-28,456
4570,1923-02-25,457
4580,1983-07-31,458
4590,1938-11-07,459
4600,1938-11-28,460
4610,1978-04-18,461
4620,1945-12-03,462
4630,1939-06-19,463
4640,1982-10-17,464
4650,1926-10-29,465
4660,1958-03-27,466
4670,1928-04-05,467
4680,1990-10-05,468
4690,1990-07-18,469
4700,1943-01-06,470
4710,1990-02-23,471
4720,1936-03-04,472
4730,1916-11-13,473
4740,2014-03-09,474
4750,1967-12-16,475
4760,1990-10-24,476
4770,1918-10-16,477
4780,1972-08-24,478
4790,1942-08-15,479
4800,1947-03-24,480
4810,2015-02-11,481
4820,1958-03-08,482
4830,2010-07-09,483
4840,2015-07-05,484
4850,1965-07-16,485
4860,1988-01-07,486
4870,1970-04-28,487
4880,1927-10-11,488
4890,1917-08-24,489
4900,1929-01-17,490
4910,1999-03-08,491
4920,1980-12-22,492
4930,2013-05-29,493
4940,1969-06-08,494
4950,1928-03-13,495
4960,2008-03-05,496
4970,1981-12-25,497
4980,2004-07-04,498
4990,2017-01-26,499
5000,2013-12-28,500
5010,1979-03-08,501
5020,1978-11-04,502
5030,1947-05-27,503
5040,1912-04-25,504
5050,2001-08-30,505
5060,2009-01-01,506
5070,1927-08-22,507
5080,1927-09-02,508
5090,1997-12-01,509
5100,2014-02-02,510
5110,1928-10-14,511
5120,2011-10-14,512
5130,1969-09-19,513
5140,1908-11-23,514
5150,1997-04-28,515
5160,2001-03-31,516
5170,1945-09-24,517
5180,1908-02-03,518
5190,1914-09-02,519
5200,1964-10-02,520
5210,2004-09-20,521
5220,1935-07-30,522
5230,2016-09-06,523
5240,1968-05-26,524
5250,1969-01-18,525
5260,1904-12-15,526
5270,1998-03-31,527
5280,1997-09-01,528
5290,2018-09-29,529
5300,1978-08-24,530
5310,2002-03-10,531
5320,1907-02-18,532
5330,1998-07-11,533
5340,2016-02-03,534
5350,1953-09-21,535
5360,1955-01-02,536
5370,2001-09-17,537
5380,1949-12-13,538
5390,1975-05-17,539
5400,2009-11-22,540
5410,2000-10-21,541
5420,1942-12-05,542
5430,1930-06-03,543
5440,1924-02-12,544
5450,1934-01-28,545
5460,1913-04-28,546
5470,1987-11-22,547
5480,2001-08-15,548
5490,1980-05-08,549
5500,2013-07-14,550
5510,1971-11-13,551
5520,1943-06-21,552
5530,1931-06-27,553
5540,2006-05-09,554
5550,1915-12-21,555
5560,1920-02-24,556
5570,1991-12-11,557
5580,1913-12-18,558
5590,2015-09-25,559
5600,1935-05-28,560
5610,1949-03-23,561
5620,2001-05-11,562
5630,1925-12-13,563
5640,1945-04-16,564
5650,1977-06-14,565
5660,1958-01-19,566
5670,1924-04-03,567
5680,1910-05-01,568
5690,2002-09-21,569
5700,2015-10-16,570
5710,1917-03-13,571
5720,2010-09-13,572
5730,1904-09-29,573
5740,1934-02-05,574
5750,1971-09-19,575
5760,1933-09-30,576
5770,1954-08-07,577
5780,1927-09-03,578
5790,1948-08-05,579
5800,1970-02-14,580
5810,1907-09-16,581
5820,1932-02-07,582
5830,2008-04-05,583
5840,1928-02-28,584
5850,1929-08-23,585
5860,1939-09-16,586
5870,1967-07-25,587
5880,1926-09-17,588
5890,1952-07-03,589
5900,1983-05-17,590
5910,1907-10-12,591
5920,1975-05-08,592
5930,1970-10-06,593
5940,2014-12-07,594
5950,1933-03-23,595
5960,2006-05-27,596
5970,1908-06-29,597
5980,2011-09-11,598
5990,1989-04-06,599
6000,1975-04-23,600
6010,1926-06-15,601
6020,1979-07-02,602
6030,1939-03-18,603
6040,2014-05-27,604
6050,1907-05-21,605
6060,1943-02-21,606
6070,1911-08-07,607
6080,1967-09-18,608
6090,1989-06-01,609
6100,2009-08-13,610
6110,1953-05-29,611
6120,2016-08-19,612
6130,1909-08-27,613
6140,1971-12-17,614
6150,2015-01-27,615
6160,1945-03-15,616
6170,1962-09-02,617
6180,2009-08-31,618
6190,1995-03-23,619
6200,1911-05-10,620
6210,1967-09-26,621
6220,2011-07-31,622
6230,1989-09-21,623
6240,1921-02-15,624
6250,2012-09-26,625
6260,1925-12-27,626
6270,1956-09-28,627
6280,1957-05-27,628
6290,2010-08-22,629
6300,1909-05-08,630
6310,1963-11-26,631
6320,1949-12-25,632
6330,2001-08-02,633
6340,1926-12-11,634
6350,1970-09-07,635
6360,1906-07-08,636
6370,2011-04-10,637
6380,1939-08-20,638
6390,1943-06-19,639
6400,1948-05-22,640
6410,1950-04-10,641
6420,1995-04-17,642
6430,1980-07-08,643
6440,1932-04-19,644
6450,1983-09-26,645
6460,1967-04-18,646
6470,2005-01-13,647
6480,1922-06-12,648
6490,1907-12-28,649
6500,1913-04-24,650
6510,1950-09-21,651
6520,1972-08-02,652
6530,1948-02-02,653
6540,1940-11-02,654
6550,1934-09-10,655
6560,1952-01-26,656
6570,1945-09-04,657
6580,1960-08-24,658
6590,1987-02-26,659
6600,1957-02-17,660
6610,2001-04-20,661
6620,1971-03-16,662
6630,1968-09-27,663
6640,2013-11-14,664
6650,1911-10-08,665
6660,1906-03-20,666
6670,1990-12-06,667
6680,2006-08-15,668
6690,1921-07-13,669
6700,1934-05-12,670
6710,1940-03-11,671
6720,1978-05-24,672
6730,1962-07-20,673
6740,2017-12-18,674
6750,1951-11-11,675
6760,1966-10-24,676
6770,1988-02-20,677
6780,1980-12-31,678
6790,1960-08-25,679
6800,2013-10-14,680
6810,1973-03-23,681
6820,1946-07-23,682
6830,1935-09-23,683
6840,2008-12-01,684
6850,2017-03-15,685
6860,1932-06-18,686
6870,1929-06-10,687
6880,1911-10-31,688
6890,1908-01-03,689
6900,2000-05-09,690
6910,1979-03-04,691
6920,1984-04-01,692
6930,1964-10-02,693
6940,1995-10-21,694
6950,2002-06-19,695
6960,1990-09-08,696
6970,1945-05-21,697
6980,1939-05-16,698
6990,1935-05-12,699
7000,1924-11-01,700
7010,1958-08-27,701
7020,1909-12-05,702
7030,1962-08-18,703
7040,1960-11-09,704
7050,1909-03-02,705
7060,1917-01-03,706
7070,2014-01-16,707
7080,1975-10-23,708
7090,1910-01-26,709
7100,1908-04-20,710
7110,2017-05-08,711
7120,1934-05-11,712
7130,1986-09-24,713
7140,1984-01-31,714
7150,2000-06-15,715
7160,1978-07-25,716
7170,1936-03-29,717
7180,1980-07-20,718
7190,1974-07-04,719
7200,1936-07-09,720
7210,1996-05-28,721
7220,1908-11-16,722
7230,1960-07-28,723
7240,1934-08-24,724
7250,1943-11-30,725
7260,1962-01-05,726
7270,1905-11-01,727
7280,1907-08-21,728
7290,1914-01-02,729
7300,2010-06-08,730
7310,1958-01-21,731
7320,1966-08-18,732
7330,1940-02-21,733
7340,1980-02-11,734
7350,1913-07-22,735
7360,1940-02-25,736
7370,1951-06-20,737
7380,1926-05-05,738
7390,1997-08-14,739
7400,1926-01-07,740
7410,1991-04-02,741
7420,1934-05-28,742
7430,1915-03-12,743
7440,1983-06-23,744
7450,2017-07-02,745
7460,1942-09-30,746
7470,2009-10-09,747
7480,1943-02-19,748
7490,1966-05-10,749
7500,1923-11-28,750
7510,1933-12-08,751
7520,1933-12-18,752
7530,1914-09-27,753
7540,1981-09-13,754
7550,1934-03-13,755
7560,1911-01-29,756
7570,1910-07-01,757
7580,1912-05-06,758
7590,1972-02-20,759
7600,1952-04-20,760
7610,2012-07-03,761
7620,1945-12-24,762
7630,1946-01-26,763
7640,1955-06-09,764
7650,1919-07-26,765
7660,1972-06-03,766
7670,2001-06-14,767
7680,1925-12-07,768
7690,1946-02-27,769
7700,2007-03-16,770
7710,1931-01-21,771
7720,2017-08-02,772
7730,1954-07-01,773
7740,1970-08-16,774
7750,1908-12-31,775
7760,1926-12-29,776
7770,1948-09-04,777
7780,1940-08-27,778
7790,1986-07-13,779
7800,1983-12-07,780
7810,2016-01-08,781
7820,1978-10-25,782
7830,2009-07-14,783
7840,1984-02-02,784
7850,1986-06-03,785
7860,1984-11-24,786
7870,1992-08-29,787
7880,1975-12-10,788
7890,1913-11-22,789
7900,2020-04-16,790
7910,1908-01-23,791
7920,1954-09-12,792
7930,1909-06-09,793
7940,1962-02-02,794
7950,1978-08-15,795
7960,1977-06-15,796
7970,1946-01-19,797
7980,1948-07-21,798
7990,1928-10-20,799
8000,1948-11-19,800
8010,1942-10-22,801
8020,1986-04-07,802
8030,1918-11-28,803
8040,1995-11-15,804
8050,2012-10-29,805
8060,2004-12-19,806
8070,2010-05-03,807
8080,1921-12-11,808
8090,1912-05-06,809
8100,1959-11-03,810
8110,1962-03-18,811
8120,2020-03-05,812
8130,1973-04-11,813
8140,2016-11-09,814
8150,2012-02-28,815
8160,1957-04-21,816
8170,1972-06-19,817
8180,1925-07-04,818
8190,2018-07-31,819
8200,1990-04-12,820
8210,1995-09-01,821
8220,1961-02-23,822
8230,1971-06-08,823
8240,1981-06-20,824
8250,1905-02-16,825
8260,1991-08-18,826
8270,2016-10-01,827
8280,1940-02-02,828
8290,1935-08-22,829
8300,1943-06-08,830
8310,1994-04-08,831
8320,1972-12-14,832
8330,2009-09-03,833
8340,1952-07-29,834
8350,1999-05-12,835
8360,1996-08-12,836
8370,2012-07-05,837
8380,1940-09-02,838
8390,1931-02-07,839
8400,1996-05-05,840
8410,1988-02-06,841
8420,1973-05-05,842
8430,1989-03-16,843
8440,1966-03-05,844
8450,1919-05-27,845
8460,2008-04-01,846
8470,1965-05-17,847
8480,1956-06-01,848
8490,1955-04-09,849
8500,1938-01-09,850
8510,1955-12-11,851
8520,1920-11-09,852
8530,1979-03-13,853
8540,1918-07-03,854
8550,1931-08-02,855
8560,1970-07-30,856
8570,1961-08-01,857
8580,1992-07-08,858
8590,1933-08-20,859
8600,1941-09-14,860
8610,1994-02-14,861
8620,1912-04-06,862
8630,1950-03-11,863
8640,2014-08-13,864
8650,1992-02-18,865
8660,1920-07-11,866
8670,2016-03-01,867
8680,1976-10-27,868
8690,1967-07-05,869
8700,1974-01-14,870
8710,1910-11-28,871
8720,2004-09-15,872
8730,1953-08-05,873
8740,1924-04-28,874
8750,2000-06-12,875
8760,1905-02-07,876
8770,1919-03-07,877
8780,1925-07-27,878
8790,1916-09-14,879
8800,2011-01-25,880
8810,1957-11-10,881
8820,1919-04-06,882
8830,1997-09-17,883
8840,1912-07-26,884
8850,1986-03-30,885
8860,1937-01-17,886
8870,2005-07-13,887
8880,1963-08-24,888
8890,1954-04-19,889
8900,1955-11-23,890
8910,1971-04-11,891
8920,1989-11-20,892
8930,1965-05-08,893
8940,1923-05-18,894
8950,2008-11-01,895
8960,1985-02-13,896
8970,1972-11-29,897
8980,1978-03-27,898
8990,1937-05-20,899
9000,1914-06-27,900
9010,1995-12-28,901
9020,1926-05-16,902
9030,1978-11-15,903
9040,1937-06-12,904
9050,2014-02-04,905
9060,1963-11-08,906
9070,1971-02-09,907
9080,1927-04-04,908
9090,1932-01-24,909
9100,1906-05-12,910
9110,1953-09-25,911
9120,2008-02-29,912
9130,1915-11-25,913
9140,2010-11-26,914
9150,1955-10-01,915
9160,2006-11-30,916
9170,1973-03-17,917
9180,1911-10-21,918
9190,1948-10-01,919
9200,1942-06-03,920
9210,1924-01-23,921
9220,1964-10-28,922
9230,1958-10-21,923
9240,1996-12-01,924
9250,1907-05-21,925
9260,1929-03-10,926
9270,1912-07-17,927
9280,1998-11-20,928
9290,1962-11-26,929
9300,1977-01-25,930
9310,2015-02-05,931
9320,1993-12-15,932
9330,1984-01-08,933
9340,1956-02-10,934
9350,1958-12-24,935
9360,1941-08-28,936
9370,1965-05-16,937
9380,1961-09-20,938
9390,1939-04-14,939
9400,2013-02-17,940
9410,1933-12-15,941
9420,1929-07-31,942
9430,1910-12-28,943
9440,2007-06-28,944
9450,2015-05-15,945
9460,1951-09-25,946
9470,1973-06-17,947
9480,1942-03-25,948
9490,1946-02-19,949
9500,1953-05-13,950
9510,1990-10-03,951
9520,1927-10-13,952
9530,1965-08-13,953
9540,1961-03-13,954
9550,1990-04-20,955
9560,1951-09-06,956
9570,1907-10-23,957
9580,1991-07-21,958
9590,1921-10-29,959
9600,2009-03-17,960
9610,1939-11-28,961
9620,1983-08-06,962
9630,1957-10-31,963
9640,2018-10-11,964
9650,1983-04-12,965
9660,1965-05-13,966
9670,1927-07-22,967
9680,1935-08-08,968
9690,1931-06-21,969
9700,1959-08-17,970
9710,1994-12-10,971
9720,2008-01-25,972
9730,1927-09-19,973
9740,1932-05-17,974
9750,1909-06-08,975
9760,1909-02-21,976
9770,1977-07-23,977
9780,1982-11-10,978
9790,1961-10-01,979
9800,1910-05-03,980
9810,1966-06-15,981
9820,1977-02-22,982
9830,1949-05-17,983
9840,1988-12-16,984
9850,1955-11-29,985
9860,1918-02-09,986
9870,1948-07-17,987
9880,2014-01-01,988
9890,2018-10-01,989
9900,1936-05-22,990
9910,1965-04-10,991
9920,1961-10-30,992
9930,2011-06-20,993
9940,1950-11-21,994
9950,1962-01-30,995
9960,1993-04-04,996
9970,1921-02-21,997
9980,1977-12-26,998
9990,1964-09-28,999
10000,1998-09-15,1000
10010,1939-05-09,1001
10020,1948-01-21,1002
10030,1989-03-14,1003
10040,1967-09-22,1004
10050,1942-01-20,1005
10060,1926-01-28,1006
10070,1918-07-30,1007
10080,2017-11-21,1008
10090,1924-08-10,1009
10100,1904-07-29,1010
10110,1988-06-14,1011
10120,2009-04-02,1012
10130,1973-10-11,1013
10140,1908-03-09,1014
10150,1986-10-03,1015
10160,2001-02-24,1016
10170,2002-12-15,1017
10180,2006-04-19,1018
10190,1932-05-14,1019
10200,1915-08-26,1020
10210,1919-12-16,1021
10220,2016-10-24,1022
10230,1986-04-19,1023
10240,1993-11-03,1024
10250,1997-01-01,1025
10260,1968-01-04,1026
10270,1965-02-10,1027
10280,1962-12-01,1028
10290,1917-12-07,1029
10300,1941-01-31,1030
10310,1966-09-14,1031
10320,1929-08-03,1032
10330,1953-09-05,1033
10340,1957-12-02,1034
10350,2015-08-29,1035
10360,1986-01-16,1036
10370,1964-06-21,1037
10380,1942-01-27,1038
10390,1907-09-01,1039
10400,1931-12-16,1040
10410,1989-01-14,1041
10420,1999-08-31,1042
10430,2014-01-01,1043
10440,1928-07-26,1044
10450,1945-07-02,1045
10460,1994-06-11,1046
10470,2006-05-06,1047
10480,1976-11-22,1048
10490,1944-01-28,1049
10500,1916-12-24,1050
10510,1983-12-17,1051
10520,1909-08-01,1052
10530,1920-09-16,1053
10540,2018-05-11,1054
10550,1935-12-20,1055
10560,1988-11-16,1056
10570,1915-08-20,1057
10580,2015-12-23,1058
10590,2009-11-20,1059
10600,1933-04-28,1060
10610,2004-10-02,1061
10620,1996-08-22,1062
10630,1911-03-05,1063
10640,1999-06-12,1064
10650,1947-09-23,1065
10660,1941-02-22,1066
10670,1972-01-05,1067
10680,1955-05-19,1068
10690,1916-11-10,1069
10700,1921-08-06,1070
10710,1908-06-22,1071
10720,1929-06-18,1072
10730,1907-08-18,1073
10740,1917-10-28,1074
10750,1940-04-22,1075
10760,1986-07-21,1076
10770,1931-09-15,1077
10780,1940-01-01,1078
10790,1908-01-15,1079
10800,1969-12-31,1080
10810,2013-04-23,1081
10820,1962-06-15,1082
10830,1931-07-23,1083
10840,1950-09-09,1084
10850,1905-04-10,1085
10860,1994-04-25,1086
10870,1929-08-12,1087
10880,1939-06-18,1088
10890,2018-10-05,1089
10900,1930-01-01,1090
10910,1922-02-12,1091
10920,2004-05-12,1092
10930,2012-06-26,1093
10940,1924-01-13,1094
10950,2019-12-09,1095
10960,1987-02-09,1096
10970,1940-04-04,1097
10980,2016-08-10,1098
10990,1920-06-29,1099
11000,1971-08-18,1100
11010,1936-11-04,1101
11020,2017-05-28,1102
11030,1988-03-20,1103
11040,1996-06-10,1104
11050,1999-08-23,1105
11060,1954-10-18,1106
11070,1909-03-14,1107
11080,1985-04-21,1108
11090,1907-08-13,1109
11100,1944-02-27,1110
11110,1987-04-24,1111
11120,1930-02-07,1112
11130,2006-01-11,1113
11140,1942-05-19,1114
11150,1936-03-06,1115
11160,1947-06-27,1116
11170,1904-06-04,1117
11180,1967-01-20,1118
11190,1945-07-27,1119
11200,1909-05-04,1120
11210,1957-06-06,1121
11220,1921-06-11,1122
11230,1995-04-25,1123
11240,1905-02-21,1124
11250,1918-05-29,1125
11260,1949-05-30,1126
11270,1909-10-24,1127
11280,1996-08-19,1128
11290,1929-10-05,1129
11300,2016-07-19,1130
11310,1914-06-17,1131
11320,1992-01-17,1132
11330,1984-12-02,1133
11340,1971-09-13,1134
11350,1954-03-21,1135
11360,1943-01-07,1136
11370,1969-08-26,1137
11380,1966-05-03,1138
11390,1905-04-21,1139
11400,1980-01-02,1140
11410,1942-09-06,1141
11420,1967-03-11,1142
11430,2007-10-22,1143
11440,1987-03-02,1144
11450,1960-08-10,1145
11460,1981-05-19,1146
11470,1974-11-27,1147
11480,1935-03-05,1148
11490,2001-07-10,1149
11500,1965-02-20,1150
11510,2002-12-31,1151
11520,1952-12-25,1152
11530,1952-11-13,1153
11540,1936-05-25,1154
11550,1957-08-30,1155
11560,1917-10-23,1156
11570,1984-08-20,1157
11580,1946-06-22,1158
