labname,size_student,size_staff,labdept
716,78,21,Argentina
717,98,26,Dominican Republic
718,99,40,Georgia
719,34,38,Dominican Republic
720,51,39,United Kingdom
721,35,47,Egypt
722,16,36,East Timor
723,44,50,Cyprus
724,51,21,Republic
725,67,5,Costa Rica
726,50,33,Colombia
727,51,38,Ireland
728,15,48,East Timor
729,65,21,Italy
730,7,42,Denmark
731,5,11,Egypt
732,83,14,Republic
733,80,25,United States
734,40,31,Comoros
735,71,39,Italy
736,28,50,Antigua
737,54,27,Albania
738,21,2,Albania
739,18,50,Italy
740,37,22,Djibouti
741,53,18,Gambia
742,83,14,Djibouti
743,76,4,Denmark
744,35,36,United Kingdom
745,67,36,Comoros
746,36,30,Gambia
747,51,44,Cuba
748,4,9,Japan
749,19,2,Albania
750,95,50,Ireland
751,73,12,Republic
752,90,27,Egypt
753,16,10,Germany
754,8,26,Congo
755,83,9,Djibouti
756,74,28,United Kingdom
757,52,31,United States
758,93,7,Italy
759,31,42,Czech
760,20,38,Dominican Republic
761,41,31,Czech
762,53,26,Ecuador
763,87,26,United States
764,43,5,United States
765,93,3,Dominican Republic
766,10,17,Dominica
767,69,33,Gabon
768,22,48,Antigua
769,13,50,Dominica
770,24,47,East Timor
771,84,50,Andorra
772,39,11,Georgia
773,34,45,Gambia
774,36,46,Gabon
775,20,10,Egypt
776,52,47,Costa Rica
777,85,26,United Kingdom
778,100,7,Argentina
779,30,39,Germany
780,6,30,Argentina
781,65,29,Andorra
782,93,15,Antigua
783,11,31,Denmark
784,13,27,Comoros
785,89,46,Germany
786,37,33,Antigua
787,57,3,Croatia
788,56,7,Argentina
789,24,45,Republic
790,100,50,Egypt
791,9,46,Egypt
792,34,43,Djibouti
793,28,22,Croatia
794,80,18,Djibouti
795,5,1,Andorra
796,97,37,Republic
797,54,39,France
798,14,46,Gambia
799,72,31,Algeria
800,64,13,Dominica
801,60,4,Comoros
802,41,7,Argentina
803,17,38,Antigua
804,17,50,Andorra
805,85,41,France
806,61,37,Colombia
807,83,3,Cyprus
808,27,37,Costa Rica
809,21,1,Dominica
810,13,32,Gabon
811,8,1,United Kingdom
812,79,42,Gambia
813,94,10,Angola
814,39,25,Colombia
815,62,26,Albania
816,70,16,Italy
817,41,40,Afghanistan
818,34,29,France
819,93,48,Andorra
820,81,41,Djibouti
821,25,5,Italy
822,46,33,Argentina
823,73,16,Cyprus
824,92,48,Andorra
825,7,1,Georgia
826,28,19,Afghanistan
827,90,36,Algeria
828,67,38,Japan
829,35,34,Colombia
830,97,26,Angola
831,70,13,Gabon
832,56,41,France
833,81,47,Dominica
834,3,32,United Kingdom
835,90,20,Colombia
836,31,34,Germany
837,17,37,Comoros
838,18,19,Dominican Republic
839,100,4,Algeria
840,60,41,Gambia
841,2,48,Republic
842,49,19,Cuba
843,48,41,Angola
844,34,16,Republic
845,83,28,Republic
846,92,47,Gabon
847,67,7,Croatia
848,65,6,China
849,89,49,East Timor
850,89,28,Dominican Republic
851,77,47,Korea South
852,53,4,France
853,59,32,Croatia
854,81,3,Comoros
855,21,9,Georgia
856,16,9,Czech
857,56,16,France
858,88,16,Republic
859,5,30,Djibouti
860,32,47,Angola
861,54,18,Ireland
862,40,48,Croatia
863,11,43,Andorra
864,38,6,Colombia
865,55,4,Algeria
866,32,45,Argentina
867,81,25,Dominican Republic
868,77,15,Gambia
869,61,30,Italy
870,50,35,Congo
871,100,49,Algeria
872,12,45,United Kingdom
873,84,17,Afghanistan
874,29,33,Cuba
875,2,28,Czech
876,49,23,Andorra
877,86,33,Japan
878,55,18,Colombia
879,97,14,Dominica
880,30,19,United Kingdom
881,35,8,Andorra
882,48,4,Dominica
883,27,38,Cuba
884,17,13,China
885,98,11,China
886,47,40,Georgia
887,93,36,Argentina
888,32,24,Antigua
889,37,35,Colombia
890,57,25,Dominican Republic
891,62,20,Dominica
892,51,13,Angola
893,18,41,United Kingdom
894,73,3,Denmark
895,22,15,Congo
896,26,46,Dominican Republic
897,65,49,United States
898,76,35,Japan
899,94,4,Costa Rica
900,44,29,Ireland
901,93,15,Republic
902,99,27,Ecuador
903,80,50,Egypt
904,65,34,Egypt
905,18,11,Korea South
906,25,19,Costa Rica
907,49,40,Afghanistan
908,75,4,Angola
909,37,23,France
910,94,41,Italy
911,58,20,Colombia
912,96,18,Georgia
913,91,5,United Kingdom
914,75,33,Afghanistan
915,15,42,Georgia
916,52,17,Ecuador
917,72,25,Dominican Republic
918,64,13,Andorra
919,5,26,Czech
920,65,24,Afghanistan
921,4,39,Argentina
922,82,25,East Timor
923,26,16,Comoros
924,86,27,Argentina
925,82,42,Afghanistan
926,56,16,France
927,71,13,Albania
928,89,39,Angola
929,31,1,Gabon
930,23,13,Gambia
931,47,32,Albania
932,26,14,Gambia
933,93,12,China
934,26,8,Gabon
935,61,18,Albania
936,69,17,Costa Rica
937,4,1,Djibouti
938,98,40,Denmark
939,96,50,Cuba
940,52,44,Cyprus
941,96,16,Dominica
942,35,49,Djibouti
943,52,49,Korea South
944,78,14,United Kingdom
945,72,46,Andorra
946,91,32,Albania
947,72,1,Egypt
948,40,36,Congo
949,13,4,Cuba
950,10,1,United States
951,11,29,Japan
952,46,11,Djibouti
953,18,45,Czech
954,74,49,Albania
955,28,49,Colombia
956,30,47,Cuba
957,98,23,Germany
958,98,29,Germany
959,12,1,Argentina
960,38,42,East Timor
961,3,24,Italy
962,54,5,Albania
963,38,8,Czech
964,48,14,Cyprus
965,79,18,Algeria
966,81,19,China
967,94,3,Czech
968,28,18,Ecuador
969,5,50,Korea South
970,63,10,Afghanistan
971,31,50,Andorra
972,9,4,Angola
973,76,14,China
974,49,9,Antigua
975,28,13,Comoros
976,55,7,Gabon
977,28,30,Croatia
978,76,13,Antigua
979,51,44,Algeria
980,26,47,Dominican Republic
981,73,25,Comoros
982,77,9,Comoros
983,36,31,Afghanistan
984,79,42,Angola
985,66,11,Gambia
986,5,50,Egypt
987,15,22,France
988,83,23,Colombia
989,78,43,Gabon
990,16,13,East Timor
991,9,34,Comoros
992,82,35,Andorra
993,43,11,Korea South
994,51,11,France
995,45,43,Costa Rica
996,60,20,Germany
997,62,1,United States
998,81,36,Algeria
999,74,50,United States
1000,54,32,Costa Rica
1001,50,48,Albania
1002,86,27,United States
1003,67,14,Georgia
1004,37,14,Comoros
1005,50,28,Republic
1006,4,34,China
1007,46,20,Gambia
1008,40,22,Algeria
1009,95,40,Cyprus
1010,76,27,Afghanistan
1011,33,35,Algeria
1012,67,9,Cyprus
1013,60,16,China
1014,10,42,Cyprus
1015,92,33,Croatia
1016,84,6,Djibouti
1017,95,21,Czech
1018,26,6,Angola
1019,38,41,Georgia
1020,34,17,Algeria
1021,19,24,Croatia
1022,41,36,Ireland
1023,92,15,Czech
1024,22,29,Germany
1025,56,22,Congo
1026,25,18,Dominican Republic
1027,26,3,Argentina
1028,22,30,Gabon
1029,72,13,Argentina
1030,30,17,Argentina
1031,91,16,Croatia
1032,50,19,Algeria
1033,6,12,Republic
1034,87,24,United States
1035,88,42,Cuba
1036,4,5,Germany
1037,81,1,Czech
1038,35,42,Congo
1039,34,26,Japan
1040,57,14,Dominican Republic
1041,23,43,Comoros
1042,43,13,Andorra
1043,30,37,Egypt
1044,60,40,Japan
1045,69,32,Gabon
1046,25,31,Japan
1047,54,12,Egypt
1048,67,44,Angola
1049,30,9,Congo
1050,90,33,Albania
1051,4,22,Egypt
1052,84,5,Albania
1053,59,6,Algeria
1054,67,21,France
1055,95,37,Egypt
1056,100,33,Croatia
1057,52,43,Albania
1058,63,30,Italy
1059,12,27,Cuba
1060,4,49,Congo
1061,61,45,Albania
1062,61,32,Denmark
1063,38,11,Germany
1064,1,10,United States
1065,39,45,Croatia
1066,66,38,Ecuador
1067,2,46,Germany
1068,93,47,France
1069,93,1,Ireland
1070,46,27,France
1071,80,13,Egypt
1072,37,26,United Kingdom
1073,19,11,Dominica
1074,54,41,Republic
1075,61,12,Albania
1076,69,1,Italy
1077,4,20,United States
1078,78,1,Afghanistan
1079,66,42,China
1080,52,25,Antigua
1081,92,41,Denmark
1082,42,18,Japan
1083,15,17,Gambia
1084,67,6,Gambia
1085,45,21,United Kingdom
1086,80,37,United Kingdom
1087,96,21,France
1088,63,31,Dominican Republic
1089,19,13,Republic
1090,97,9,Dominica
1091,77,49,Denmark
1092,22,28,United Kingdom
1093,59,23,Denmark
1094,5,37,Afghanistan
1095,95,4,Germany
1096,38,12,Dominican Republic
1097,23,26,Egypt
1098,50,32,Cyprus
1099,53,10,Japan
1100,88,22,Gambia
1101,29,22,China
1102,78,50,Dominican Republic
1103,98,49,Andorra
1104,70,35,Angola
1105,61,13,Denmark
1106,95,10,Gambia
1107,27,32,Djibouti
1108,75,24,Cyprus
1109,58,23,Gabon
1110,84,29,Republic
1111,92,45,Gambia
1112,81,40,Ireland
1113,9,17,Georgia
1114,96,30,Albania
1115,63,35,Germany
1116,49,47,Cyprus
1117,54,25,Argentina
1118,48,21,Colombia
1119,67,43,Costa Rica
1120,51,24,Gabon
1121,34,13,United States
1122,15,13,Dominica
1123,60,1,Djibouti
1124,44,17,Afghanistan
1125,90,22,United States
1126,22,44,Afghanistan
1127,84,31,Czech
1128,45,8,Argentina
1129,96,20,Albania
1130,85,11,Republic
1131,69,36,Cuba
1132,91,13,Korea South
1133,46,47,Ireland
1134,50,34,Angola
1135,37,4,Czech
1136,18,45,Andorra
1137,89,2,Republic
1138,13,47,Andorra
1139,46,16,Comoros
1140,26,38,Denmark
1141,34,42,Antigua
1142,79,26,Korea South
1143,91,11,Korea South
1144,39,2,Costa Rica
1145,7,34,Denmark
1146,6,31,Albania
1147,18,5,Comoros
1148,7,14,Croatia
1149,50,36,Cyprus
1150,72,25,Comoros
1151,70,38,Angola
1152,27,45,Andorra
1153,98,46,Andorra
1154,18,13,United States
1155,77,43,Ecuador
1156,94,10,Croatia
1157,37,7,France
1158,5,33,Ireland
1159,35,29,Comoros
1160,28,27,Andorra
1161,7,47,Afghanistan
1162,41,48,Colombia
1163,75,18,Angola
1164,15,29,Congo
1165,7,38,France
1166,10,31,Afghanistan
1167,42,40,East Timor
1168,32,32,Croatia
1169,97,31,United States
1170,20,23,Italy
1171,10,5,United Kingdom
1172,51,9,Dominican Republic
1173,26,28,Cuba
1174,43,40,Georgia
1175,59,19,Albania
1176,61,24,Germany
1177,72,21,Algeria
1178,77,39,Gabon
1179,34,26,Comoros
1180,12,27,Costa Rica
1181,75,18,Comoros
1182,92,23,Algeria
1183,10,30,China
1184,38,29,Ecuador
1185,30,41,Gabon
1186,84,23,Croatia
1187,48,32,Djibouti
1188,97,32,Croatia
1189,9,30,Korea South
1190,44,7,Congo
1191,65,43,Korea South
1192,44,13,Angola
1193,58,8,United Kingdom
1194,28,43,Argentina
1195,81,13,Czech
1196,61,40,Ireland
1197,53,35,Ecuador
1198,48,20,Georgia
1199,81,36,France
1200,17,47,Italy
1201,91,31,Ireland
1202,48,50,Italy
1203,31,7,Antigua
1204,96,50,Republic
1205,34,40,Congo
1206,27,50,China
1207,25,14,Angola
1208,69,41,United States
1209,43,15,Dominican Republic
1210,88,10,Japan
1211,86,7,Argentina
1212,2,31,Egypt
1213,4,19,Republic
1214,2,35,Djibouti
1215,30,5,Ecuador
1216,82,13,Georgia
1217,29,37,Angola
1218,38,26,Argentina
1219,74,49,United Kingdom
1220,94,26,Germany
1221,55,2,Albania
1222,25,38,Ecuador
1223,30,22,Georgia
1224,15,24,Cyprus
1225,59,5,Argentina
1226,42,20,Argentina
1227,79,37,Cyprus
1228,76,30,Croatia
1229,70,10,Egypt
1230,7,13,Costa Rica
1231,98,11,Korea South
1232,82,44,Italy
1233,93,41,Ecuador
1234,89,33,Antigua
1235,18,24,Ecuador
1236,21,3,Ecuador
1237,60,50,Gabon
1238,43,21,Dominican Republic
1239,73,15,United States
1240,98,14,Argentina
1241,71,33,Denmark
1242,58,13,Japan
1243,1,18,Afghanistan
1244,48,16,Republic
1245,18,2,Egypt
1246,10,31,Cyprus
1247,77,13,Andorra
1248,35,3,Comoros
1249,31,17,Congo
1250,26,3,Korea South
1251,44,30,Argentina
1252,43,19,Algeria
1253,46,1,Algeria
1254,72,12,Afghanistan
1255,62,47,Korea South
1256,17,18,Egypt
1257,51,12,Djibouti
