scolname,location_country,location_state,location_city,scale_students,scale_faculty
Patricia Kerr,Gambia,your,food,4255,4746
Jeremy Clark,Cyprus,just,long,7380,2155
Frank Vaughan,United Kingdom,force,single,3551,4158
Sara Garcia,Andorra,discussion,approach,6922,2076
Emily Martin,Andorra,cell,million,6770,1160
Brandon Ortega,Republic,newspaper,success,581,963
David Harrington,Korea South,may,commercial,3967,231
Laurie Harris,Cuba,half,financial,5151,561
Johnny Le,Cyprus,fish,national,1602,1631
Corey Schmitt,United Kingdom,true,speech,8401,40
Richard Bell,Congo,human,somebody,4630,3782
Barry Castillo,Cuba,heavy,positive,1876,4051
Megan Johnson,China,set,another,1477,3061
Jacqueline Cordova,France,describe,anything,3946,1271
Aaron Rodriguez,Comoros,still,wide,6567,3289
Cheryl Burns,Korea South,every,state,2640,3352
Justin Johnson,Ecuador,some,drive,1498,4885
Lisa Murphy,Cuba,organization,one,4419,324
Whitney Rodriguez,Gambia,adult,focus,9387,2411
Christopher Martin,Argentina,husband,moment,8499,4869
Kimberly Hamilton,Czech,black,almost,8336,3663
Richard Hays,Djibouti,memory,gun,8403,2136
Rebecca Gillespie,Djibouti,language,health,3100,1777
William Russo,Argentina,personal,office,2156,3151
Jeffrey Hogan,Antigua,interest,civil,5727,1308
Justin Young DVM,Gabon,state,environment,6438,4411
Michelle Mora,Costa Rica,without,can,6871,2230
Elizabeth Ward,Czech,son,position,3327,1540
William Murphy,Gabon,tend,popular,7686,964
Brian Hernandez,Croatia,church,response,5882,4754
Vanessa Patel,France,business,wear,7141,828
Jeffrey Jordan,Comoros,old,radio,6288,3165
Gregory Smith,Dominican Republic,feel,tend,6678,1869
Elizabeth Kennedy,Cyprus,American,seek,8411,3291
Catherine Avila,Italy,side,structure,5310,1385
Robert Walsh,Cuba,beat,character,1729,2622
Brett Fry,Egypt,hundred,reflect,4531,524
Alexander Harper,Argentina,scene,minute,6701,4263
Mark Jones,Italy,list,voice,8536,264
Kathy Peterson,China,lot,teacher,6781,3565
Lisa Wang,Georgia,land,lay,6695,3413
Bryan Thompson,Ireland,administration,attention,8859,656
Darrell Smith,Ireland,dream,sign,148,3301
Justin Wise,Egypt,person,treatment,3263,3453
Stephen Morales,Cyprus,model,spend,4348,3679
Willie Hernandez,Germany,everything,week,8297,4901
Troy Mitchell,Czech,production,green,1623,2683
Dr. Scott Spencer,Georgia,available,thought,8947,4612
Derrick Green,Algeria,will,necessary,7196,1784
Martin Johnson,Germany,trouble,yeah,5841,3731
Paul Krause,Albania,we,special,953,4576
Randall Chavez,Argentina,visit,role,8419,2087
Mrs. Christine Neal,East Timor,sister,process,927,4957
Allison Jimenez,Antigua,nice,evidence,4569,3068
Joy Kelley,Antigua,war,significant,9287,678
Beth Grimes,Gabon,future,plant,5625,2590
Michelle Noble,Italy,happy,east,6828,1649
Carol Allen,Costa Rica,tell,long,3961,1620
Marc Gaines,Albania,society,news,7051,971
Lisa Brooks,Gambia,common,fast,2702,794
Natasha Kelley,Germany,plan,artist,53,2412
Holly Maldonado MD,Gambia,property,by,4237,2169
Mary Smith,Cyprus,hour,charge,5576,98
Morgan Davis,China,among,even,345,2215
David Smith,Antigua,share,trade,814,4655
Kyle Martinez,Ecuador,long,forward,7717,4785
Christine Torres,United Kingdom,weight,modern,8455,4000
Elizabeth Vaughn,Gambia,woman,within,6376,1769
Sherry Bryant,Georgia,perhaps,claim,3580,4957
Heather May,Colombia,couple,popular,1232,2846
Bernard Ray,Djibouti,service,pick,6438,4888
Amber Ortiz,China,low,officer,2010,2408
Daniel House,United States,partner,note,5372,2724
Kevin Jackson,Congo,describe,pretty,5415,2885
Donald Jones,Colombia,every,local,9636,3035
Sean Smith Jr.,Germany,quite,goal,2896,867
Chelsea Morris,Korea South,important,mind,8463,3149
Mr. Richard Jordan,Denmark,state,fast,4697,4884
Jonathan Martinez,Dominica,activity,record,3693,442
William Andrews,East Timor,often,recognize,4752,4843
Walter Mack,United Kingdom,kitchen,election,682,4324
Antonio Young,Costa Rica,require,ground,3650,3007
Michael Nelson,Costa Rica,similar,act,9958,4615
James Baker DDS,Ecuador,research,news,6582,3083
Brenda Sawyer,Ireland,main,good,8329,2364
Julie Ortiz,Algeria,talk,sign,2126,2573
Laura Fuentes,Comoros,half,difficult,3963,3877
Barbara Hernandez,Gambia,ability,whose,5017,4798
Allison White,Albania,I,peace,7956,1064
Linda Stephens DDS,Gabon,special,sit,5494,3800
Michael Chambers,Japan,road,stuff,6610,892
Michelle Chambers,Colombia,myself,week,1897,3514
Colleen Hartman,Cuba,affect,former,569,3693
Nicholas Jones,France,international,kid,6482,4833
Ashley Griffith,France,recently,administration,7353,1606
Samantha Erickson DVM,Congo,vote,own,5011,4013
Dr. Pamela Brown MD,East Timor,avoid,weight,971,1370
Benjamin Costa,East Timor,environment,family,1732,3248
Elizabeth Gibson,Angola,best,fall,5660,3875
Thomas Reid,Dominica,ago,song,9194,4244
Jerry Tucker,United States,local,present,358,3566
Thomas Rivera,France,avoid,daughter,4561,2069
Jared Williams,Korea South,admit,wind,636,3512
David Johnson,Andorra,cover,then,4518,1594
Gary Mason,Dominica,his,she,5284,3560
Bruce Wilson,East Timor,can,wide,267,2177
Kimberly Long,Italy,me,because,3156,3012
Lorraine Mack,Georgia,identify,role,4577,1036
David Mccall,United States,per,later,9755,1084
Nancy Anderson,United States,suggest,which,6517,3775
Teresa Carey,Czech,though,sound,2427,4458
Olivia Martin DDS,Comoros,whole,find,7507,3104
Jack Alexander,Cuba,defense,collection,5565,3545
Aaron Smith MD,Albania,science,reflect,4662,3238
Stacey Hamilton,Germany,budget,short,6362,1241
Leslie Bender,France,dinner,data,5239,4146
Kathy Atkinson,Angola,agency,body,3790,914
Richard Kline,Georgia,car,fire,6863,3087
Jonathon Dickerson,United Kingdom,glass,American,3852,2286
Lynn Bailey,United Kingdom,turn,continue,7273,4115
Brian Briggs,Cyprus,look,television,4405,4865
Jeffrey Watson,Korea South,able,cause,1266,3368
Kimberly Bailey,Congo,several,safe,6182,508
Kimberly Brooks,Korea South,media,hot,9940,2601
Victoria Wilson,Dominican Republic,yeah,threat,8717,3121
Courtney Thomas,Djibouti,candidate,they,7173,4234
Jennifer Thomas,Argentina,away,check,8409,4849
Courtney Robertson,China,pass,voice,3808,1490
Timothy Gardner,Djibouti,point,property,7222,3362
Stacy Church,Dominican Republic,avoid,late,4469,2984
Amber Graves,United States,born,century,9738,785
Stephanie Blankenship,Argentina,data,peace,7069,4109
Jeff Lyons,Dominican Republic,more,sit,701,3960
Ana Patel DVM,Colombia,total,nice,6922,4866
Antonio Garrett,East Timor,record,speak,9401,772
Cynthia Solomon,France,first,him,6430,1467
Larry Thomas,Congo,town,relate,6804,4050
Jennifer Torres,Cuba,book,glass,1533,1779
James Smith,Ecuador,power,environmental,7379,2443
Matthew Pham,Egypt,range,cold,9887,4844
Jennifer Brown,Dominica,maybe,stay,2212,1521
Katelyn Rodriguez,Dominica,draw,project,5539,3952
Kevin Myers,Colombia,threat,wide,1747,4632
Samantha Alexander,Angola,couple,officer,8337,1243
Zachary Goodman,Djibouti,play,these,6393,4091
Jeremy Ayers,Congo,put,return,3617,4845
Melanie Schwartz,Costa Rica,world,finish,3738,2043
Danielle Mendoza,Comoros,live,attack,4709,1913
Travis Smith,East Timor,week,bar,7812,2751
James Jackson,United Kingdom,level,policy,6454,505
Erik Cook,Colombia,sister,now,1509,2899
Jeremy Simmons,Afghanistan,even,threat,9827,2881
Gary Petty,Republic,simple,would,3131,2580
Kelsey Jones,Argentina,off,also,6500,1199
Brittany Shaffer,France,I,president,3257,4696
Mike Kent,Italy,value,around,8031,3473
Jason Allen,Colombia,general,operation,1259,3618
Samantha Coleman,Germany,finish,apply,2343,2683
Amy Young,Congo,summer,oil,6985,1439
Michael Lopez,Albania,guy,something,6828,2684
Shannon Stevens,Gabon,level,find,662,3067
Melissa Jimenez,Costa Rica,when,lead,6046,658
Nicole Lee,Congo,action,again,4749,43
Alicia Clayton,Croatia,message,traditional,4146,1574
Julie Vaughn,Korea South,prove,evening,9982,11
Suzanne Conrad,Denmark,knowledge,cell,6637,4987
April Cervantes,Ecuador,different,however,7633,3018
Elaine Guzman,Japan,record,role,6141,1676
Stephanie Schaefer,Afghanistan,field,use,685,2137
Marco Holland,Korea South,dark,go,7815,3261
Ray Campbell,Colombia,commercial,result,3707,2416
Brian Contreras,France,bed,enough,2970,1428
Tristan Mcdonald,Costa Rica,expect,friend,5640,3422
Brandon Carter,Algeria,possible,entire,780,3594
Joshua Stein,Costa Rica,change,cold,8232,1024
Jamie Davidson,Italy,end,site,9593,2426
Cory Brown,Ireland,interest,use,1570,664
Linda Sullivan,Italy,international,short,7486,1489
Patrick Phillips,Argentina,perform,rich,9873,2342
Cynthia Watkins,Angola,box,result,8868,4183
Victoria Fuller,Dominica,each,something,1856,1930
John Greene,China,each,quality,4372,2919
James Riley,Egypt,just,recognize,916,1402
John Malone,Costa Rica,itself,administration,2275,3384
Suzanne Greene,East Timor,serve,research,9391,872
Carla Jordan,Czech,order,into,8607,1218
Sharon Barr,United States,laugh,they,8492,2324
John Perez,Croatia,indeed,message,5444,4809
Denise Day,Congo,accept,little,2270,2242
Cynthia Hernandez,Afghanistan,thought,force,3548,17
Ruben Franklin,United Kingdom,religious,finally,3405,624
Laura Stevens,Germany,society,network,3821,2139
Jacob Hodges,Congo,natural,yourself,3745,3706
Tony Gonzalez DDS,East Timor,policy,again,7201,71
Brittany Rios,East Timor,herself,majority,9548,1686
Sarah Smith,Antigua,figure,that,5330,1854
Gary Griffin,Comoros,rule,truth,9283,4461
Maria Oliver,Republic,town,finish,9235,1350
Richard Wiley,Andorra,enough,information,8731,2328
Laura Torres,Algeria,decision,body,5091,999
Jose Torres,Dominica,sure,ahead,3683,411
Kathy Martinez,Czech,parent,join,607,1202
Patrick Greer,Argentina,teacher,price,5554,2107
Charles Kim,Afghanistan,no,according,6485,3524
Tina Rocha,Angola,threat,suffer,9551,4850
Matthew Williams,Angola,once,be,3723,4357
Andrew Jarvis,Germany,second,enjoy,6719,1002
Donna Pham,Gabon,various,catch,9589,3935
Michael Choi,Italy,collection,thus,7428,3439
Thomas Morales,Georgia,focus,despite,2760,270
James Smith,Antigua,explain,support,7015,703
Jesus Schwartz,Afghanistan,social,base,6182,3029
Sean Marshall,France,although,family,9301,4255
Lauren Sampson,Italy,lose,plan,5601,1789
Dawn Roberts,Italy,decade,pick,4743,1488
Marcus Wolfe,Congo,new,future,7966,4630
David Douglas,Korea South,remember,forward,8144,4644
Tyler Sutton,France,medical,talk,5314,1909
Mark Mcdonald,Angola,late,network,8502,2529
Nicole Ross,Gambia,analysis,he,8037,4498
Robert Pierce,Japan,help,radio,6636,3450
Rachel Hicks,Costa Rica,fire,not,8641,2322
James Osborne,Comoros,better,ball,5899,2991
Renee Willis,Ireland,without,morning,3426,2971
Laura Knight,Egypt,probably,also,8651,3232
Gregory Giles,United Kingdom,performance,action,9847,2195
Gina Williams,France,water,specific,6821,4878
Scott Brown,Ecuador,cause,where,1049,164
Catherine Castillo,Gambia,soldier,available,7004,1640
Kathleen Orr,Egypt,could,become,5276,1740
Tom Lee,China,single,away,555,193
David Lane,Andorra,cost,old,1923,337
Eric Jones,Costa Rica,behavior,foreign,20,4529
Tyler Le,United Kingdom,ball,party,5729,392
Janet Castillo,Albania,rather,good,6754,2064
Robert Walker,Antigua,black,soon,7650,4234
Tracy Brown,Ireland,recognize,raise,4362,2957
Brittany Taylor,Croatia,I,sound,3756,418
Peter Cooper V,Dominican Republic,space,five,8154,4682
David Hayden,Colombia,prove,senior,3197,4624
Michael Nguyen,Republic,budget,girl,2323,1170
Andrea Smith,Gabon,despite,medical,17,4140
Mark Hernandez,Italy,increase,participant,6930,2187
Robert Garrett,Cuba,series,right,217,4936
Amber Reyes,Georgia,interest,herself,55,758
Michael Diaz,Croatia,either,give,5893,4922
Robert Hernandez,Angola,military,lot,4086,656
Gordon Mitchell,Gabon,focus,minute,9037,4954
Brandon Brown,Dominican Republic,news,human,1099,3689
Vicki Sherman,Ireland,affect,relate,7963,168
Martin Lewis,Cyprus,small,yeah,5935,4888
Susan Davis,Congo,culture,see,3332,129
Erica Walker,Dominica,I,political,7734,2378
James Burns,France,show,tend,4949,3235
Tammy Martinez,Congo,magazine,require,265,1664
Sabrina Davis,Colombia,cell,catch,418,3085
Christopher Austin,Germany,summer,writer,3082,1518
Elizabeth Wells,Croatia,will,along,5085,4552
Sandra Wright,Ireland,wish,weight,7518,3937
John Johnson,Denmark,eat,lawyer,402,1104
Nathan Cain,Gabon,skin,know,5579,2645
Gregory Ramirez,Czech,important,fly,3899,4623
Christopher Bennett,Comoros,officer,goal,1525,1837
Tony Miller,Croatia,everything,eat,6965,1162
Caitlyn Harmon,Italy,war,whose,6624,210
Raymond Ibarra,Gabon,style,mention,3007,453
Dawn Garcia,Congo,question,option,812,3085
Craig Phillips,Ecuador,west,garden,974,3789
Timothy Baker,Djibouti,assume,answer,4581,280
Connie Nelson,Czech,not,radio,9518,1346
Joshua Black,Japan,church,wait,7653,1996
Jamie Duffy,Ecuador,rather,event,2552,4609
Brian Martin,Japan,be,perhaps,7779,2382
Larry Hicks,Republic,always,add,2995,3350
Peter Miller,Egypt,nothing,let,8930,1429
Laura Kelly,Angola,itself,couple,9601,2477
Amy Lopez,France,among,ahead,7138,3907
Michelle Lee,Egypt,attention,exactly,6534,1642
Sheri Jones,Andorra,physical,personal,8068,3089
Anna Rogers,Cuba,color,training,1826,1284
Kenneth Sanchez,United Kingdom,research,already,5727,2680
Roberto Williams,Croatia,civil,above,130,940
Dr. Kelly Gallagher MD,Republic,chance,common,1913,2708
Kimberly Krueger,Comoros,school,pass,4744,2022
John Curtis,Ireland,us,training,2755,3419
Alejandro Campbell,Georgia,memory,represent,3622,1559
Gabriel Sweeney,Congo,physical,how,6736,3133
Megan Sellers,Cyprus,wind,improve,77,1278
Sue Webb,Denmark,Mrs,his,9622,1664
Arthur Mcdonald,United Kingdom,office,list,8842,1134
Erica Moore,Comoros,sign,wear,8598,954
Terry Anderson,Andorra,hard,fine,2486,3430
Jennifer Richardson,Congo,couple,way,6390,2092
Donald Mills,Czech,happen,major,8842,1665
Adam Nelson,Cuba,use,ahead,9282,3701
Jonathan Bennett,Gambia,society,where,9610,2911
Tracy Martinez,Germany,act,together,14,3522
Jason Salazar,Gambia,big,take,8831,589
Tina Walker,Dominica,school,notice,5516,4242
Robert Rogers,Italy,operation,level,8721,2031
Kaitlin Collins,Antigua,tonight,police,9591,2229
Anna Mcdonald,Congo,institution,for,909,4786
Patrick Horton,Germany,tough,tree,494,2276
Emily Anderson,Djibouti,grow,first,8485,3099
Andrew Burton,Georgia,arm,cut,9047,3731
Zachary Alvarez,Algeria,necessary,cultural,4406,1128
Christine Miller,Czech,book,PM,7350,4447
William Aguirre,Costa Rica,should,take,7563,1409
Mr. Jeremy Larson DDS,Andorra,site,research,8766,3370
Tammie Dennis,Denmark,performance,chance,293,1486
Christian Payne,Republic,issue,same,8176,2961
Brianna Guerrero,Dominica,soldier,possible,4000,1616
David Alvarado,Argentina,series,discussion,5329,1076
Christina Patel,Japan,usually,significant,2654,4536
Laura Haynes,Gabon,political,wide,9732,3885
Corey Williams,Argentina,court,smile,2247,1225
Kara Hernandez,Gambia,magazine,staff,3039,3763
Jessica Edwards MD,Afghanistan,near,agent,7338,871
Melinda Jackson,Dominica,present,consider,9983,1101
Frank Washington,France,option,base,8930,628
Jesse Miller,Argentina,method,thousand,7764,2449
Joshua Cross,Djibouti,forget,author,1726,1830
Rebecca Ward,Korea South,one,artist,9322,110
Tyler Shaw,Cuba,series,six,4427,1993
Adam Shaw,Ireland,hear,among,6236,1958
Danielle Washington,Ireland,give,single,507,1094
Joshua Ward,Cuba,suddenly,go,9223,4545
Michael Moody,United Kingdom,management,hotel,1418,2804
Kenneth Patterson,Denmark,boy,capital,3877,2152
Stacy Foster,Andorra,somebody,southern,337,3142
Terry Reed,Dominican Republic,international,new,3518,3482
Shannon Johnson,Dominica,try,grow,138,968
Mr. John Rodriguez,Antigua,popular,people,9710,3232
Jacob Bryant,Gambia,prove,factor,6594,4418
Mallory Kim,China,soon,service,6493,4603
Matthew West,Dominica,near,reflect,9166,2550
Tiffany Trujillo,Republic,leader,method,5585,4563
Brittany Johnson,United Kingdom,employee,behavior,3643,2114
Jennifer Silva,Costa Rica,civil,born,1727,2198
Brenda Lee,Costa Rica,how,run,649,2976
Stephen Strickland,Denmark,history,top,1320,4544
Kristie Morgan,Comoros,add,add,3681,4548
Melissa Martinez,Comoros,within,another,4170,4328
Denise Hood,Antigua,station,wall,1450,851
Albert Rowe,Argentina,hospital,make,701,4093
John Chavez,Cyprus,those,growth,6360,1853
Kristin Rodriguez,Ireland,place,boy,3381,880
Eric Nolan,Comoros,move,create,3803,4841
Melissa Crawford,Ireland,eye,law,328,4387
Eric Elliott,Afghanistan,dog,make,2809,1358
Xavier Everett,United States,indeed,between,7237,3396
William Kramer,Germany,challenge,reflect,59,4251
Shawn Hall,Czech,away,the,4094,1958
Jeremy Butler,Costa Rica,time,just,7008,2301
Benjamin King,Angola,month,right,8797,4267
Ashley Johnson,Cuba,evening,season,2868,4745
Blake Weaver,Czech,key,language,676,1132
Matthew Garcia,Gambia,enter,face,3615,2118
Adam Valdez,Czech,alone,authority,396,1384
Natalie Campos,Colombia,pretty,become,9587,2371
Katie Daniel,Korea South,respond,picture,5986,3857
Kenneth Evans,Croatia,tax,forget,5472,3511
Michael Miller,Ireland,early,daughter,4213,2590
Amy Williams,Italy,time,and,4967,154
Anthony Castillo,France,Mr,pass,219,1429
Sarah Lopez,Andorra,much,interest,1531,1971
Carla Hinton,Republic,material,in,6608,693
Daniel Lopez,Republic,lay,tree,2416,1101
Jason Perez,East Timor,small,event,5277,4704
Stephen Davis,Ireland,and,social,9298,1057
Victor Page,Georgia,your,your,2568,4371
Anthony Henderson,Republic,officer,might,8381,921
Michael Pugh,Cuba,you,fire,1521,2830
Ashley Bradshaw,Georgia,federal,or,3387,4570
Bryan Turner,Comoros,debate,sign,8625,2598
Janet York,East Timor,company,simply,5897,4485
Ashley King,Algeria,responsibility,myself,4096,1360
Tina Vargas,Czech,focus,art,3606,4256
Tina Williams,Cuba,a,since,3688,45
Ryan Williams,Denmark,cold,partner,9197,4976
Christopher Cole,Georgia,information,effort,8390,4274
Bradley Rodriguez,Czech,model,pretty,1923,2806
Dr. Charles Baldwin PhD,Angola,rule,give,5212,728
Joshua Lowery,Ireland,expect,member,6880,3267
Natasha Cooke,Egypt,among,daughter,7214,4206
Jennifer Day,Algeria,three,his,7035,2986
Nicole Nelson,Angola,wide,than,5325,3303
Robert Phillips,Colombia,evening,probably,2624,4019
Emma Rosales,Comoros,can,though,2817,2787
Richard Adams,Ireland,create,five,8088,3481
Tracy Diaz,Croatia,hand,woman,5401,3504
Brian Brown,Argentina,push,field,7431,2128
Theresa Barnes,Korea South,production,sport,8301,3178
Pamela Chen PhD,China,free,side,2385,4959
Bruce Porter,Algeria,item,reason,1668,3488
Crystal Terrell,Dominica,wall,soldier,9187,3589
Annette Lopez MD,Costa Rica,trial,professor,1740,646
Joshua Lawson,Andorra,town,box,9155,3204
Andre Ray,Croatia,society,available,2158,3727
John Carlson,Antigua,performance,everyone,4531,287
Linda Harrison MD,Dominican Republic,especially,Mrs,6396,2684
David Smith,France,miss,remain,6393,1739
Dylan Ray,United Kingdom,food,wish,5750,4584
Timothy Smith,Czech,charge,simple,3637,1222
Deborah Hernandez,Angola,radio,run,6930,4497
David Murphy,Argentina,try,watch,6889,4578
April Nguyen,Gabon,there,someone,8768,2965
Terri Reyes,Argentina,floor,low,8505,2303
Ann Wang,United Kingdom,economic,oil,6352,4605
Melody Castaneda,Angola,feel,others,6535,1587
Joel Briggs,France,memory,more,8903,3701
Jonathan Garcia MD,Korea South,card,attorney,6475,2894
Rebecca Daniels,Denmark,as,billion,3495,423
Fernando Dudley,Czech,knowledge,customer,7205,163
Anne Johnston,Albania,my,address,8856,1776
Kelsey Fowler,Denmark,hour,wear,5935,3681
Sara Sanchez,Argentina,scientist,well,9820,3910
Crystal Khan,Afghanistan,but,training,6543,1957
Heather Robertson,United Kingdom,ahead,body,2078,259
James Wilson,Italy,forward,market,6769,4876
Amy Ruiz,Angola,never,ball,8284,3817
Michelle Nichols,Czech,arm,western,1679,3781
Anthony Hartman,Italy,say,policy,1729,4431
Kiara Herrera,Italy,try,only,451,2733
Andrew Meyer,Georgia,listen,leave,5032,3220
Manuel Brown,Republic,politics,grow,2713,2202
Matthew Johnson,Costa Rica,claim,realize,5703,1873
Keith Hill,Korea South,general,most,8072,4044
Chelsey Rodriguez,Georgia,unit,somebody,8434,2480
Tony Daniels,Albania,much,much,9883,1765
Lucas Allen,Cuba,society,sing,7612,1707
Mrs. Ashley Kramer DVM,Colombia,others,require,5471,4117
Michael Wilson,Korea South,question,system,6609,1426
Craig Duran,Czech,keep,itself,5914,2336
Kimberly Ward,Japan,will,adult,906,2696
Timothy Williams,China,final,TV,6975,1102
Patrick Ortiz,Korea South,here,student,4983,2811
Shannon Evans,Congo,chair,vote,1903,295
Tyler Davis,Cuba,social,bad,2111,1939
Joshua Olson,Egypt,trial,parent,4282,1283
James Cox,Georgia,relate,street,3950,1170
Stephanie Mcgrath,Korea South,ask,would,4923,3217
Jennifer Delgado,Gabon,learn,than,4049,1695
Shelby Reid,Antigua,consider,end,9818,851
Kylie Palmer,Colombia,rock,audience,8172,1932
Shawn Simpson,United States,per,city,3452,191
Ryan Mcdonald,United States,about,strategy,7271,2361
Benjamin Smith,Korea South,network,speech,6357,4293
Matthew Fritz,Cyprus,various,cost,3069,1153
Brian Cox,United States,since,answer,3636,2793
Patrick Zhang,United Kingdom,foreign,suddenly,4389,297
Charles Curtis Jr.,Germany,rather,simply,627,4431
Mary Martinez,Italy,who,financial,7865,4609
Nicholas Bell,Dominican Republic,expert,usually,1989,4202
Charles Reese,Italy,great,the,6631,2414
Paul Jackson,Japan,source,central,6848,284
Jeremy Gomez,Gabon,cup,exactly,3013,3872
David Gates,Andorra,everybody,wife,9960,632
Anthony Reyes,Ecuador,window,quite,2333,1956
Edward Martinez,Comoros,decide,education,3208,4033
Abigail Diaz,Gabon,which,debate,4925,1689
Nancy Collins,Croatia,technology,oil,9705,2457
William Byrd,Czech,chance,report,9735,876
Ashley Kidd,Antigua,where,consumer,2528,82
Mary Ruiz,Cuba,however,exist,3298,3284
Jose Hernandez,Algeria,rather,tell,4565,3427
Julian Lewis,Croatia,make,story,5284,4036
Colin Meyer,Japan,force,single,6560,2917
Miss Melissa Cline MD,Antigua,check,source,91,4681
Eric Parker,Congo,professor,pick,8646,963
Arthur Rodriguez,Denmark,why,season,3903,1653
Roger Mcgee,Djibouti,everything,degree,2748,2475
Michael Miller,Algeria,growth,most,7505,3960
Chase Mayo,Colombia,and,reach,4503,1795
Carol Lucero,Congo,win,shoulder,6641,4826
Paula Carr,Antigua,moment,arrive,7012,3180
Debra Thomas,Algeria,leg,oil,8961,2305
Zachary Gomez,Colombia,entire,call,948,3545
Edward Whitney,Afghanistan,bank,should,8944,2634
David Conrad,Argentina,hot,despite,1278,730
Alan Andrews,Germany,difference,board,4932,2315
Jennifer Owens,Germany,many,now,1021,479
Laura Rodriguez,Japan,scene,industry,5748,3602
James Neal,Italy,PM,ground,8093,3350
Eric Singleton,Georgia,upon,training,2418,4315
Lisa Ware,Dominican Republic,dinner,idea,5755,1018
Michael Lane,Afghanistan,both,unit,6321,2162
David Skinner,Czech,high,already,6798,2535
Claudia Rose,Italy,response,former,7944,2282
Ellen Simmons,Cyprus,finish,main,2020,2406
William Ball,Colombia,opportunity,fight,599,769
Matthew Marshall,Cyprus,offer,bad,8344,492
Jason Campbell,Korea South,itself,positive,8485,3181
Courtney Evans,Cyprus,director,chance,7597,1297
Linda Dillon,Dominica,blue,provide,6656,1304
Kevin Holland,Georgia,she,trouble,7047,4298
John Harper,Egypt,maintain,their,6957,176
Lisa Adams,Gambia,half,now,8617,111
Carolyn Allen,Cyprus,easy,defense,5137,3222
Michael Kelly,Algeria,point,heart,6031,3759
Jeffrey Torres,Afghanistan,college,table,2994,603
Michael Robles,United Kingdom,better,see,6509,1902
Leslie Bryan,Croatia,not,party,9605,1524
Melanie Johnston,Djibouti,school,eye,3278,931
Stephanie Spencer,Gabon,hour,fight,3263,608
Stephen Stewart,Algeria,effect,man,5911,4834
Betty Lopez,Egypt,his,someone,5772,1333
Theresa Ayers,Cuba,outside,staff,9097,2680
Timothy Barber,Argentina,president,style,6064,1184
Shannon Graham,Comoros,second,system,9401,2230
Steven Sanchez,Dominican Republic,risk,force,1276,865
Barbara Harris,Costa Rica,concern,compare,3718,3656
Ralph Norton,Germany,identify,side,3181,979
Maria Parker,Dominican Republic,machine,his,776,2383
Carrie Garner,United Kingdom,but,might,9725,4051
Anthony Franklin,Gabon,one,play,6455,942
Michael Sanders,Albania,answer,time,6217,4794
Brian Kelley,China,true,become,62,1232
Kathleen Brooks,Germany,read,PM,2686,1963
Justin Bell,Angola,smile,prevent,2281,1837
Matthew Jones,Costa Rica,direction,oil,7384,2427
Megan Riddle,Republic,woman,seem,6509,3674
Justin Buck,China,become,growth,6803,2113
Nicole Mason,Algeria,close,security,1440,4254
James Barnett,Italy,involve,indeed,900,1436
Priscilla Howard,Korea South,movie,consider,6598,4127
Kristine Williams,Colombia,leave,who,9494,1324
Jonathan Perry,Georgia,culture,issue,4339,2366
Michele Grimes,Algeria,activity,range,2561,3430
